Product Name,Score,Normalized Score (%)
AMD RYZEN 5 5600GT,3016,24.71
AMD RYZEN 5 5500GT,3014,24.69
AMD RYZEN 5 PRO 7535U,3010,24.66
INTEL CORE I9-11950H @ 2.60GHZ,3003,24.6
AMD RYZEN 5 PRO 6650H,2973,24.36
AMD RYZEN AI 9 365,2966,24.3
AMD RYZEN 7 7735HS,2946,24.14
AMD RYZEN 5 6600H,2933,24.03
AMD RYZEN 5 5500,2926,23.97
INTEL CORE I9-11900H @ 2.50GHZ,2912,23.86
AMD RYZEN 5 7535U,2912,23.86
AMD RYZEN 5 6600HS CREATOR EDITION,2908,23.82
AMD RYZEN 5 7535HS,2895,23.72
AMD RYZEN 5 PRO 6650U,2877,23.57
INTEL CORE I7-11850H @ 2.50GHZ,2875,23.55
AMD RYZEN 7 PRO 6850HS,2850,23.35
AMD RYZEN 7 7735H,2846,23.32
AMD RYZEN 5 6600U,2846,23.32
AMD RYZEN 7 7736U,2842,23.28
INTEL CORE I3-1210U,2838,23.25
INTEL CORE I7-11800H @ 2.30GHZ,2837,23.24
AMD RYZEN 9 PRO 6950HS,2832,23.2
AMD RYZEN 9 6900HS,2825,23.14
AMD RYZEN 9 6900HS CREATOR EDITION,2819,23.1
AMD RYZEN 7 6800H,2819,23.1
AMD RYZEN 5 5600G,2816,23.07
AMD RYZEN 9 PRO 6950H,2815,23.06
AMD RYZEN 7 PRO 6850H,2809,23.01
INTEL CORE I3-1315U,2804,22.97
AMD RYZEN 7 6800HS CREATOR EDITION,2794,22.89
AMD RYZEN 7 7735U,2783,22.8
INTEL CORE I9-11900K @ 3.50GHZ,2783,22.8
INTEL CORE I9-11900KF @ 3.50GHZ,2774,22.73
AMD RYZEN 5 5600GE,2770,22.69
AMD RYZEN 7 5700,2768,22.68
INTEL CORE I7-1270P,2758,22.6
AMD RYZEN 7 6800HS,2747,22.51
AMD RYZEN 7 PRO 6850U,2735,22.41
AMD RYZEN 7 6800U,2729,22.36
INTEL CORE I5-1334U,2702,22.14
INTEL CORE I7-11600H @ 2.90GHZ,2694,22.07
AMD RYZEN 7 PRO 6860Z,2688,22.02
INTEL CORE I7-1260P,2670,21.87
AMD RYZEN 7 PRO 7735U,2630,21.55
AMD RYZEN 9 5900HS CREATOR EDITION,2608,21.37
INTEL CORE I5-12500H,2600,21.3
AMD RYZEN 5 7530U,2553,20.92
INTEL CORE I3-1220P,2535,20.77
AMD RYZEN 5 7430U,2488,20.38
INTEL CORE I5-12450HX,2485,20.36
AMD RYZEN 9 5980HX,2467,20.21
AMD RYZEN 9 5900HX,2448,20.06
AMD RYZEN 5 PRO 7530U,2444,20.02
AMD RYZEN 5 PRO 5675U,2425,19.87
AMD RYZEN 7 PRO 7730U,2424,19.86
AMD RYZEN 5 5600H,2410,19.74
AMD RYZEN 5 5625U,2406,19.71
INTEL CORE I5-1350P,2403,19.69
AMD RYZEN 7 7730U,2390,19.58
INTEL CORE I5-1340P,2377,19.47
INTEL CORE I3-1215U,2356,19.3
INTEL CORE I5-1250P,2353,19.28
AMD RYZEN 5 5600U,2351,19.26
INTEL CORE I5-13420H,2340,19.17
AMD RYZEN 9 5980HS,2333,19.11
AMD RYZEN 5 PRO 5650U,2331,19.1
AMD RYZEN 7 5825U,2310,18.93
AMD RYZEN 7 5800H,2282,18.7
AMD RYZEN 9 5900HS,2250,18.43
AMD RYZEN 7 5800U,2207,18.08
INTEL CORE I9-10980HK @ 2.40GHZ,2202,18.04
INTEL CORE I5-11260H @ 2.60GHZ,2188,17.93
INTEL CORE I5-11500H @ 2.90GHZ,2187,17.92
INTEL CORE I9-10885H @ 2.40GHZ,2186,17.91
INTEL CORE I7-10875H @ 2.30GHZ,2180,17.86
AMD RYZEN 7 PRO 5850U,2150,17.61
INTEL CORE I5-11400H @ 2.70GHZ,2146,17.58
