Product Name,Original Price,Discounted Price
VGA Asus ProArt GeForce RTX 4060 OC 8GB GDDR6 (PROART-RTX4060-O8G),10.999.000,10.299.000
VGA Asus DUAL RTX 4060 Ti OC 8GB M.2 PCIE NVME SSD (DUAL-RTX4060TI-O8G-SSD),15.999.000,13.499.000
VGA Asus ROG Strix GeForce RTX 4070 SUPER 12GB GDDR6X OC Edition (ROG-STRIX-RTX4070S-O12G-GAMING),29.999.000,22.999.000
VGA Gigabyte GeForce RTX 4080 SUPER GAMING OC 16GB GDDR6X (N408SGAMING OC-16GD),44.999.000,35.499.000
VGA Asus RTX 4080 Super OC 16GB NOCTUA Edition (RTX4080S-O16G-NOCTUA),43.999.000,36.999.000
VGA SAPPHIRE PURE RX 7700 XT GAMING OC 12GB GDDR6,14.999.000,13.299.000
VGA MSI GeForce RTX 3090 SUPRIM X 24G,64.999.000,60.999.000
VGA Asus DUAL RTX 4060 Ti OC 8GB GAMING,14.999.000,11.999.000
VGA Gigabyte RTX 4060 Eagle OC 8GB,11.999.000,8.879.000
VGA Asus ProArt GeForce RTX 4060 OC 8GB GDDR6 (PROART-RTX4060-O8G),10.999.000,10.299.000
VGA Asus DUAL RTX 4060 Ti OC 8GB M.2 PCIE NVME SSD (DUAL-RTX4060TI-O8G-SSD),15.999.000,13.499.000
VGA Asus ROG Strix GeForce RTX 4070 SUPER 12GB GDDR6X OC Edition (ROG-STRIX-RTX4070S-O12G-GAMING),29.999.000,22.999.000
VGA Gigabyte GeForce RTX 4080 SUPER GAMING OC 16GB GDDR6X (N408SGAMING OC-16GD),44.999.000,35.499.000
VGA Asus RTX 4080 Super OC 16GB NOCTUA Edition (RTX4080S-O16G-NOCTUA),43.999.000,36.999.000
VGA SAPPHIRE PURE RX 7700 XT GAMING OC 12GB GDDR6,14.999.000,13.299.000
VGA MSI GeForce RTX 3090 SUPRIM X 24G,64.999.000,60.999.000
VGA Colorful GeForce GTX 1630 NB-V 4G,4.399.000,3.599.000
VGA Asus TUF RTX 4060 Ti OC 8GB GAMING,16.999.000,12.399.000
VGA Gigabyte RTX 4060 Aero OC 8GB (N4060AERO OC-8GD),12.999.000,10.799.000
VGA ASUS Dual GeForce RTX 4070 SUPER White OC Edition 12GB GDDR6X (DUAL-RTX4070S-O12G-WHITE),25.999.000,20.939.000
VGA Gigabyte RTX 4070 Ti Super Aero OC 16GB GDDR6X (N407TSAERO OC -16GD),39.999.000,27.999.000
VGA Gigabyte GeForce RTX 4080 SUPER AERO OC 16GB GDDR6X (N408SAERO OC-16GD),45.999.000,36.999.000
VGA MSI Geforce RTX 4070 Ti SUPER 16GB VENTUS 2X OC,29.999.000,24.999.000
VGA ASUS Dual RTX 4060 Ti Advanced Edition 16GB GDDR6 (DUAL-RTX4060TI-A16G),15.599.000,13.399.000
VGA Gigabyte RTX 4070 Windforce 12GB (N4070WF3-12GD),19.999.000,17.299.000
VGA Gigabyte GT 1030 Low Profile D4 2G (GV-N1030D4-2GL),2.999.000,2.199.000
VGA Leadtek WinFast GTX 1650 D6 4G,7.999.000,4.999.000
VGA Colorful GeForce GTX 1660 SUPER 6G V4-V 6GB DDR6,6.499.000,4.689.000
VGA Asus DUAL RTX 4060 Ti OC 8GB WHITE,15.999.000,12.199.000
VGA INNO3D GEFORCE GTX 1650 GDDR6 TWIN X2 OC 4GB GDDR6 (3x DP+1xHDMI),4.499.000,3.699.000
VGA Gigabyte RTX 4070 Super Eagle OC 12GB GDDR6X (N407SEAGLE OC-12GD),24.999.000,20.999.000
