Product Name,Original Price,Discounted Price
"CPU INTEL CORE I9-13900 (UP TO 5.6GHZ, 24 NHÂN 32 LUỒNG, 36MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",17.599.000₫,15.199.000₫
"CPU INTEL CORE I9-13900F (UP TO 5.6GHZ, 24 NHÂN 32 LUỒNG, 36MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",16.999.000₫,14.999.000₫
CPU INTEL CORE I3-10105F (TRAY-KHÔNG TẢN NHIỆT),1.899.000₫,1.699.000₫
CPU INTEL CORE I5-13400 (TRAY-KHÔNG TẢN NHIỆT),6.599.000₫,4.999.000₫
CPU INTEL CORE I7-12700K (BOX NK),0,7.499.000₫
CPU INTEL CORE I5-10400 (TRAY-KHÔNG TẢN NHIỆT),4.299.000₫,3.199.000₫
"CPU INTEL CORE I7-12700KF (3.8GHZ TURBO UP TO 5.0GHZ, 12 NHÂN 20 LUỒNG, 25MB CACHE, 125W) - SOCKET INTEL LGA 1700/ALDER LAKE)",0,7.199.000₫
"CPU INTEL CORE I5-11400F (2.6GHZ TURBO UP TO 4.4GHZ, 6 NHÂN 12 LUỒNG, 12MB CACHE, 65W) - SOCKET INTEL LGA 1200",4.099.000₫,2.999.000₫
"CPU INTEL CORE I9-12900 (2.4GHZ TURBO UP TO 5.1GHZ, 16 NHÂN 24 LUỒNG, 30MB CACHE, 65W) - SOCKET INTEL LGA 1700/ALDER LAKE)",14.099.000₫,12.399.000₫
"CPU INTEL CORE I9-12900KF (3.2GHZ TURBO UP TO 5.2GHZ, 16 NHÂN 24 LUỒNG, 30MB CACHE, 125W) - SOCKET INTEL LGA 1700/ALDER LAKE)",14.399.000₫,10.999.000₫
"CPU INTEL CORE I9-12900F (2.4GHZ TURBO UP TO 5.1GHZ, 16 NHÂN 24 LUỒNG, 30MB CACHE, 65W) - SOCKET INTEL LGA 1700/ALDER LAKE)",0,11.799.000₫
"CPU INTEL CORE I5-12600 (UPTO 4.8GHZ, 6 NHÂN 12 LUỒNG, 18MB CACHE, 65W) - SOCKET INTEL LGA 1700)",0,6.599.000₫
"CPU INTEL CELERON G6900 (3.4GHZ, 2 NHÂN 2 LUỒNG, 4MB CACHE, 46W) - SOCKET INTEL LGA 1700)",0,1.599.000₫
