Product Name,Original Price,Discounted Price
CARD MÀN HÌNH INNO3D RTX 3050 TWIN X2 6GB,5.999.000₫,4.599.000₫
CARD MÀN HÌNH COLORFUL GTX 1650 EX 4GD6-V,4.799.000₫,3.649.000₫
"CARD MÀN HÌNH ASUS PH-GT1030-O2G (2GB GDDR5, 64-BIT, DVI+HDMI)",2.699.000₫,2.099.000₫
CARD MÀN HÌNH ASUS DUAL RTX 4070 SUPER-O12G,20.699.000₫,19.499.000₫
CARD MÀN HÌNH ASUS GT730-SL-2GD5 BRK,1.799.000₫,1.459.000₫
CARD MÀN HÌNH PNY GTX 1650 4GB DUAL FAN GDDR6 (VCG16514D6DFXPB1),3.999.000₫,3.629.000₫
CARD MÀN HÌNH NVIDIA T400 4GB (ASUS SERVER ACCESSORY),5.999.000₫,3.959.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 TI GAMING OC-16GB,16.999.000₫,14.999.000₫
CARD MÀN HÌNH COLORFUL RTX 4060 TI NB DUO 16GB-V,13.499.000₫,12.399.000₫
CARD MÀN HÌNH COLORFUL RTX 3060 NB DUO 12G V3 L-V,9.999.000₫,7.499.000₫
CARD MÀN HÌNH ASUS PH-GT1030-O2G (BOX-CŨ ĐẸP),2.699.000₫,1.799.000₫
CARD MÀN HÌNH MSI RTX 4070 TI SUPER 16G GAMING X SLIM WHITE,28.999.000₫,26.999.000₫
CARD MÀN HÌNH MSI RTX 4070 SUPER 12G VENTUS 2X OC,20.999.000₫,18.599.000₫
CARD MÀN HÌNH MSI RTX 4060 TI GAMING X SLIM WHITE 16G,16.999.000₫,15.399.000₫
CARD MÀN HÌNH MSI RTX 4080 SUPER 16G GAMING X TRIO,37.499.000₫,35.499.000₫
CARD MÀN HÌNH MSI RTX 4070 SUPER 12G GAMING X SLIM WHITE,22.599.000₫,20.299.000₫
CARD MÀN HÌNH MSI RTX 4080 SUPER 16G GAMING X SLIM WHITE,37.999.000₫,34.999.000₫
CARD MÀN HÌNH MSI RTX 4070 VENTUS 3X E 12G OC,19.999.000₫,17.299.000₫
CARD MÀN HÌNH INNO3D RTX 4080 SUPER X3 16GB,32.999.000₫,29.999.000₫
CARD MÀN HÌNH INNO3D RX 4080 SUPER X3 OC,38.999.000₫,30.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 TI EAGLE OC-8GD,13.999.000₫,11.999.000₫
CARD MÀN HÌNH ASUS ROG-STRIX-RTX 4070 TI-O12G-GAMING,39.999.000₫,23.999.000₫
CARD MÀN HÌNH NVIDIA RTX A2000 12GB GDDR6,20.599.000₫,19.089.000₫
CARD MÀN HÌNH INNO3D GTX 1650 TWIN X2 OC 4GB GDDR6 / V3 (N16502-04D6X-171330N),4.699.000₫,3.649.000₫
CARD MÀN HÌNH COLORFUL GEFORCE RTX 4060 ULTRA W DUO OC 8GB-V,9.999.000₫,8.499.000₫
CARD MÀN HÌNH MANLI RTX 3050-6GB (1 FAN),5.599.000₫,4.599.000₫
CARD MÀN HÌNH ASUS DUAL GTX 1650-4GD6-P-EVO,4.599.000₫,3.749.000₫
CARD MÀN HÌNH ASUS DUAL RTX 4070-12G GDDR6X,20.999.000₫,16.999.000₫
CARD MÀN HÌNH COLORFUL GEFORCE RTX 4060 TI NB DUO 8GB-V,13.799.000₫,11.199.000₫
CARD MÀN HÌNH ASUS DUAL RTX 4070-O12G,21.119.000₫,17.499.000₫
CARD MÀN HÌNH ASUS TUF RTX 4070-12G-GAMING GDDR6X,23.159.000₫,18.399.000₫
CARD MÀN HÌNH COLORFUL GEFORCE RTX 4060 ULTRA W OC 8GB-V,N/A,9.599.000₫
CARD MÀN HÌNH COLORFUL GEFORCE RTX 4060 NB DUO 8GB-V,9.299.000₫,8.399.000₫
"CARD MÀN HÌNH ASUS TUF GTX 1660 SUPER-6G GAMING (6GB GDDR6, 192-BIT, DVI+HDMI+DP, 1X8-PIN)",6.199.000₫,5.149.000₫
"CARD MÀN HÌNH ASUS TUF GTX 1660 SUPER-O6G GAMING (6GB GDDR6, 192-BIT, DVI+HDMI+DP, 1X8-PIN)",6.299.000₫,5.199.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 TI AERO OC-16GB,16.799.000₫,14.899.000₫
CARD MÀN HÌNH ASUS ROG STRIX RTX 4060-O8G-GAMING,12.999.000₫,10.899.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 AORUS ELITE-8GD,12.699.000₫,10.799.000₫
CARD MÀN HÌNH ASUS ROG-STRIX-RTX 4080-O16G-GAMING,49.999.000₫,43.499.000₫
CARD MÀN HÌNH GIGABYTE GTX 1660 SUPER D6-6GD,6.299.000₫,5.199.000₫
CARD MÀN HÌNH GIGABYTE RTX 3060 EAGLE OC 12GD-V2,N/A,8.399.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 TI AORUS ELITE-8GD,15.599.000₫,12.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 3060 VISION OC 12GD-V2,N/A,8.799.000₫
CARD MÀN HÌNH GIGABYTE GT1030 LOW PROFILE D4 2G,N/A,2.199.000₫
CARD MÀN HÌNH NVIDIA T400 4GB GDDR6 (ASUS SERVER ACCESSORY),4.999.000₫,3.899.000₫
CARD MÀN HÌNH OCPC GTX 1660 SUPER 6GB,6.599.000₫,4.899.000₫
CARD MÀN HÌNH ASUS NVIDIA RTX A2000 12GB GDDR6 (CARTON BOX),17.699.000₫,16.599.000₫
CARD MÀN HÌNH GIGABYTE RTX 4080 AORUS MASTER-16GB,49.679.000₫,41.399.000₫
"CARD MÀN HÌNH NVIDIA T400 4GB GDDR6 ROHS, BULK",5.699.000₫,4.549.000₫
CARD MÀN HÌNH NVIDIA T1000 8GB GDDR6 BULK,13.499.000₫,11.279.000₫
CARD MÀN HÌNH NVIDIA RTX A400 4GB BULK,6.799.000₫,5.269.000₫
CARD MÀN HÌNH NVIDIA RTX A1000 8GB BULK,14.799.000₫,13.299.000₫
CARD MÀN HÌNH NVIDIA RTX A2000 12GB BULK,20.999.000₫,18.499.000₫
CARD MÀN HÌNH NVIDIA RTX RTX A4000 16GB BULK,35.499.000₫,31.699.000₫
CARD MÀN HÌNH COLORFUL RTX 3050 6GB-V,5.899.000₫,4.799.000₫
CARD MÀN HÌNH COLORFUL RTX 3050 NB DUO 6GB-V,5.999.000₫,4.899.000₫
CARD MÀN HÌNH GIGABYTE RTX 3050 EAGLE OC-6G,5.599.000₫,4.899.000₫
