Product Name,Original Price,Discounted Price
CARD MÀN HÌNH POWERCOLOR RED DRAGON RADEON RX 550 4GB GDDR5,4.990.000Đ,3.990.000Đ
CARD MÀN HÌNH ASUS TUF GAMING GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,22.990.000Đ,21.490.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX 4090 BTF OC EDITION 24GB GDDR6X,69.900.000Đ,63.900.000Đ
CARD MÀN HÌNH PALIT GEFORCE GT 1030 2GB DDR4,2.550.000Đ,2.200.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 TI GAMING TRIO 12G,27.990.000Đ,25.590.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 ULTRA W OC V2-V,21.670.000Đ,16.990.000Đ
CARD MÀN HÌNH COLORFUL IGAME RTX 4080 SUPER LOONG EDITION OC 16GB-V,38.990.000Đ,37.990.000Đ
CARD MÀN HÌNH COLORFUL RTX 3060 TI NB DUO V2 8GB V2 LHR-V,12.900.000Đ,9.990.000Đ
CARD MÀN HÌNH NVIDIA QUADRO LEADTEK T400 4GB GDDR6,4.490.000Đ,4.470.000Đ
CARD MÀN HÌNH GALAX GEFORCE RTX 4070 12G 1-CLICK OC 2X,15.990.000Đ,14.990.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX 4090 OC WHITE EDITION 24GB GDDR6X,69.000.000Đ,61.900.000Đ
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER EAGLE OC 12G,22.290.000Đ,20.990.000Đ
CARD MÀN HÌNH ASUS PRIME GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,22.890.000Đ,20.490.000Đ
CARD MÀN HÌNH MSI RTX 4070 GAMING X TRIO 12GB,20.490.000Đ,18.790.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 VENTUS 2X E 12G OC,17.470.000Đ,16.490.000Đ
CARD MÀN HÌNH ASUS DUAL GEFORCE RTX 4070 OC 12GB GDDR6X,20.460.000Đ,17.190.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 ULTRA W OC V2-V,21.670.000Đ,16.990.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4090 GAMING X TRIO 24G,58.900.000Đ,56.900.000Đ
CARD MÀN HÌNH POWERCOLOR RED DRAGON RADEON RX 550 4GB GDDR5,4.990.000Đ,3.990.000Đ
CARD MÀN HÌNH ASUS TUF GAMING GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,22.990.000Đ,21.490.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX 4090 BTF OC EDITION 24GB GDDR6X,69.900.000Đ,63.900.000Đ
CARD MÀN HÌNH PALIT GEFORCE GT 1030 2GB DDR4,2.550.000Đ,2.200.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 TI GAMING TRIO 12G,27.990.000Đ,25.590.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 ULTRA W OC V2-V,21.670.000Đ,16.990.000Đ
CARD MÀN HÌNH COLORFUL IGAME RTX 4080 SUPER LOONG EDITION OC 16GB-V,38.990.000Đ,37.990.000Đ
CARD MÀN HÌNH COLORFUL RTX 3060 TI NB DUO V2 8GB V2 LHR-V,12.900.000Đ,9.990.000Đ
CARD MÀN HÌNH NVIDIA QUADRO LEADTEK T400 4GB GDDR6,4.490.000Đ,4.470.000Đ
CARD MÀN HÌNH ASUS ROG STRIX RTX 4080 SUPER O16G GAMING,39.990.000Đ,38.990.000Đ
CARD MÀN HÌNH POWERCOLOR FIGHTER RADEON RX 6500 XT 4GB GDDR6,4.990.000Đ,3.690.000Đ
CARD MÀN HÌNH INNO3D RTX 4070 SUPER TWIN X2 OC,18.990.000Đ,16.590.000Đ
CARD MÀN HÌNH LEADTEK RTX 5000 ADA GENERATION 32GB GDDR6,159.990.000Đ,149.690.000Đ
CARD MÀN HÌNH ASL RTX 3070 LHR 8GB 256BIT GDDR6,10.490.000Đ,9.990.000Đ
CARD MÀN HÌNH ASUS TUF RTX 4080 SUPER 16GB GDDR6X EDITION,33.990.000Đ,32.690.000Đ
CARD MÀN HÌNH GIGABYTE GEFORCE RTX 4070 TI EAGLE 12G,27.490.000Đ,24.280.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,24.990.000Đ,23.990.000Đ
CARD MÀN HÌNH COLORFUL IGAME RTX 4080 SUPER NEPTUNE OC 16G-V,40.990.000Đ,38.900.000Đ
CARD MÀN HÌNH NVIDIA QUADRO RTX A4500 20GB GDDR6 – WORKSTATION VIDEO CARD,50.290.000Đ,38.290.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 TI NEPTUNE OC-V,35.000.000Đ,31.890.000Đ
CARD MÀN HÌNH ASUS PROART GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,24.900.000Đ,22.190.000Đ
CARD MÀN HÌNH GIGABYTE RTX 4080 SUPER WINDFORCE 16G,35.990.000Đ,32.900.000Đ
CARD MÀN HÌNH GALAX GEFORCE RTX 4070 12G 1-CLICK OC 2X,15.990.000Đ,14.990.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 GAMING X SLIM WHITE 12G,21.000.000Đ,19.390.000Đ
CARD MÀN HÌNH ASUS PROART RTX 4070 TI SUPER 16GB GDDR6X OC EDITION,30.190.000Đ,28.900.000Đ
CARD MÀN HÌNH ASUS ROG STRIX RTX 4080 SUPER 16GB GDDR6X WHITE OC EDITION,42.990.000Đ,37.900.000Đ
CARD MÀN HÌNH ASUS DUAL RTX 4070 SUPER OC EDITION 12GB GDDR6X,21.990.000Đ,20.730.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,24.990.000Đ,23.990.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX 4090 OC WHITE EDITION 24GB GDDR6X,69.000.000Đ,61.900.000Đ
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER EAGLE OC 12G,22.290.000Đ,20.990.000Đ
CARD MÀN HÌNH ASUS PRIME GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,22.890.000Đ,20.490.000Đ
CARD MÀN HÌNH COLORFUL GEFORCE RTX 4070 TI SUPER NB EX 16GB-V,25.900.000Đ,24.500.000Đ
CARD MÀN HÌNH GIGABYTE GEFORCE RTX 4090 GAMING OC 24GB,60.990.000Đ,59.990.000Đ
CARD MÀN HÌNH GIGABYTE AORUS GEFORCE RTX 4070 TI MASTER 12GB,35.990.000Đ,29.590.000Đ
CARD MÀN HÌNH ASUS DUAL RTX 4060 TI SSD OC EDITION 8GB GDDR6,14.990.000Đ,13.290.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 TI SUPER ULTRA W OC 16GB-V,25.900.000Đ,25.500.000Đ
CARD MÀN HÌNH LEADTEK RTX 5880 ADA GENERATION 48GB GDDR6,260.000.000Đ,257.390.000Đ
CARD MÀN HÌNH ASUS DUAL RTX 4060 TI SSD EDITION 8GB GDDR6,14.900.000Đ,13.130.000Đ
CARD MÀN HÌNH PNY GTX 1650 4GB DUAL FAN GDDR6,3.990.000Đ,3.690.000Đ
CARD MÀN HÌNH PNY GEFORCE RTX 4060 TI 16GB XLR8 GAMING VERTO DUAL FAN,12.490.000Đ,11.900.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 SUPER ULTRA W OC 12GB-V,20.990.000Đ,18.690.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4060 TI ULTRA W DUO OC 16GB-V,15.500.000Đ,12.990.000Đ
CẦU NỐI 2 VGA GIGABYTE AORUS RGB SLI HB BRIDGE (1 SLOT/6CM),1.100.000Đ,500.000Đ
CARD ĐỒ HỌA GIGABYTE RADEON RX 6600 EAGLE 8G,6.860.000Đ,5.790.000Đ
CARD MÀN HÌNH LEADTEK NVIDIA QUADRO RTX A2000 12GB GDDR6 DPX4 PCI-E,21.890.000Đ,17.090.000Đ
CARD MÀN HÌNH LEADTEK RTX 4000 ADA GENERATION 20GB GDDR6,47.990.000Đ,45.290.000Đ
CARD MÀN HÌNH ASUS ROG STRIX RTX 4080 SUPER 16GB GDDR6X WHITE OC EDITION,42.990.000Đ,37.900.000Đ
CARD MÀN HÌNH COLORFUL IGAME RTX 4080 SUPER VULCAN W OC 16GB-V,37.990.000Đ,36.990.000Đ
CARD MÀN HÌNH ZOTAC GAMING RTX 4070 SUPER TWIN EDGE OC 12GB GDDR6X,16.990.000Đ,16.300.000Đ
CARD MÀN HÌNH ASROCK AMD RADEON RX 7600 STEEL LEGEND 8GB OC,10.300.000Đ,8.300.000Đ
CARD MÀN HÌNH GALAX GEFORCE RTX 4070 12G 1-CLICK OC 2X,15.990.000Đ,14.990.000Đ
