Name,Product Name,Original Price,Discounted Price
"CPU AMD RYZEN THREADRIPPER PRO 7965WX (128M CACHE, UP TO 5.3GHZ, 24C48T, SOCKET  STR5)",CPU AMD RYZEN THREADRIPPER PRO 7965WX,89.999.000,75.899.000
CPU AMD RYZEN 7 5700 (AMD AM4 - 8 CORE - 16 THREAD - BASE 3.7GHZ - TURBO 4.6GHZ - CACHE 20MB),CPU AMD RYZEN 7 5700,5.999.000,4.899.000
"CPU INTEL CORE I3-10100 (6M CACHE, 3.60 GHZ UP TO 4.30 GHZ, 4C8T, SOCKET 1200, COMET LAKE-S)",CPU INTEL CORE I3-10100,3.399.000,2.599.000
"CPU INTEL CORE I7-12700KF (25M CACHE, UP TO 5.00 GHZ, 12C20T, SOCKET 1700)",CPU INTEL CORE I7-12700KF,12.000.000,6.499.000
CPU INTEL CORE I7 13700K (INTEL LGA1700 - 16 CORE - 24 THREAD - BASE 3.4GHZ - TURBO 5.4GHZ - CACHE 30MB),CPU INTEL CORE I7 13700K,15.999.000,9.599.000
CPU INTEL CORE I9 13900KS (INTEL LGA1700 - 24 CORE - 32 THREAD - BASE 3.0GHZ - TURBO 5.8GHZ - CACHE 36MB),CPU INTEL CORE I9 13900KS,21.999.000,18.499.000
"CPU AMD RYZEN THREADRIPPER 7980X (256M CACHE, UP TO 5.1GHZ, 64C128T, SOCKET STR5)",CPU AMD RYZEN THREADRIPPER 7980X,179.999.000,141.899.000
CPU AMD RYZEN 5 8600G (AMD AM5 - 6 CORE - 12 THREAD - BASE 4.3GHZ - TURBO 5.0GHZ - CACHE 22MB),CPU AMD RYZEN 5 8600G,7.999.000,5.289.000
CPU INTEL CORE ULTRA 7 265KF (INTEL LGA1851 - 20 CORE - 20 THREAD - BASE 3.3GHZ - TURBO 5.5GHZ - CACHE 30MB - NO IGPU),CPU INTEL CORE ULTRA 7 265KF,14.999.000,11.299.000
CPU INTEL CORE I5 10400F (INTEL LGA1200 - 6 CORE - 12 THREAD - BASE 2.9GHZ - TURBO 4.3GHZ - CACHE 12MB - NO IGPU),CPU INTEL CORE I5 10400F,4.499.000,2.799.000
CPU INTEL CORE I9 12900K (INTEL LGA1700 - 16 CORE - 24 THREAD - BASE 3.2GHZ - TURBO 5.2GHZ - CACHE 30MB),CPU INTEL CORE I9 12900K,20.000.000,10.599.000
CPU INTEL CORE I7 13700KF (INTEL LGA1700 - 16 CORE - 24 THREAD - BASE 3.4GHZ - TURBO 5.4GHZ - CACHE 30MB - NO IGPU),CPU INTEL CORE I7 13700KF,13.999.000,10.199.000
CPU AMD RYZEN 9 7900X3D 4.4 GHZ (5.6 GHZ WITH BOOST) / 128MB CACHE / 12 CORES 24 THREADS / SOCKET AM5 / 120 W),CPU AMD RYZEN 9 7900X3D 4.4 GHZ,19.999.000,13.699.000
"CPU AMD RYZEN THREADRIPPER 7970X (128M CACHE, UP TO 5.3GHZ, 32C64T, SOCKET STR5)",CPU AMD RYZEN THREADRIPPER 7970X,74.999.000,70.899.000
CPU AMD RYZEN 5 8500G (AMD AM5 - 6 CORE - 12 THREAD - BASE 3.5GHZ - TURBO 5.0GHZ - CACHE 22MB),CPU AMD RYZEN 5 8500G,5.999.000,4.149.000
"CPU INTEL CORE I9-12900KF (30M CACHE, UP TO 5.20 GHZ, 16C24T, SOCKET 1700)",CPU INTEL CORE I9-12900KF,18.500.000,9.699.000
CPU AMD RYZEN 7 5700X (AMD AM4  - 8 CORE - 16 THREAD - BASE 3.4GHZ - TURBO 4.6GHZ - CACHE 36MB - NO IGPU),CPU AMD RYZEN 7 5700X,7.999.000,4.249.000
CPU AMD RYZEN 9 7950X3D 4.2 GHZ (5.7 GHZ WITH BOOST) / 128MB CACHE / 16 CORES 32 THREADS / SOCKET AM5 / 120 W),CPU AMD RYZEN 9 7950X3D 4.2 GHZ,21.999.000,17.999.000
"CPU AMD RYZEN THREADRIPPER 7960X (128M CACHE, UP TO 5.3GHZ, 24C48T, SOCKET STR5)",CPU AMD RYZEN THREADRIPPER 7960X,49.999.000,41.899.000
